epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,487.735,1.16345,2.96256,1.45455,0.0073,1,0.74066,0.53565,0.8089,3.06549,1.12801,0.00010002,0.00010002,0.00010002
2,836.448,0.83227,2.23727,1.21151,0.00726,1,0.9183,0.70756,0.79717,2.67215,0.96776,0.000212419,0.000212419,0.000212419
3,1106.28,0.77623,1.30311,1.10525,0.00732,1,0.93665,0.72683,0.77397,2.62557,0.98368,0.000320197,0.000320197,0.000320197
4,1431.51,0.72026,1.07626,1.10781,0.98797,0.44,0.84466,0.68019,0.70564,2.23076,1.00088,0.000423355,0.000423355,0.000423355
5,1717.45,0.72296,0.96118,1.1144,0.7763,0.4903,0.90667,0.66059,0.84424,2.08082,1.27153,0.000521891,0.000521891,0.000521891
6,1974.15,0.78034,0.99376,1.13316,0.79837,0.48425,0.87325,0.66775,0.77823,1.86273,1.047,0.000615806,0.000615806,0.000615806
7,2149.2,0.69917,0.86042,1.05686,0.8351,0.81088,0.97137,0.76007,0.86848,1.47638,1.15251,0.000705101,0.000705101,0.000705101
8,2305.59,0.71784,0.90683,1.06419,0.90869,0.96602,0.98868,0.81491,0.70238,1.15588,0.89717,0.000789775,0.000789775,0.000789775
9,2442.31,0.71233,0.81928,1.04942,0.95478,0.92132,0.97499,0.77237,0.84985,1.33367,1.00791,0.000869827,0.000869827,0.000869827
10,2635.56,0.64483,0.826,1.05958,1,0.97363,0.99224,0.81961,0.6616,1.02508,0.87863,0.000945259,0.000945259,0.000945259
11,2814.84,0.69301,0.82443,1.06126,0.98253,0.93246,0.98608,0.8297,0.66609,1.08566,0.85302,0.00101607,0.00101607,0.00101607
12,2951.26,0.70853,0.76459,1.0393,0.80421,0.95123,0.97124,0.79503,0.72816,1.23634,0.92864,0.00108226,0.00108226,0.00108226
13,3110.62,0.72342,0.84174,1.07311,0.99176,0.9505,0.99204,0.83282,0.67266,0.93163,0.88491,0.00114383,0.00114383,0.00114383
14,3269.22,0.65501,0.79824,1.043,0.95161,1,0.995,0.82502,0.70323,0.90452,0.94685,0.00120078,0.00120078,0.00120078
15,3451.96,0.60923,0.71185,1.02723,0.99549,0.97647,0.99352,0.82018,0.69745,0.92002,0.9784,0.00120491,0.00120491,0.00120491
16,3645.46,0.65833,0.76028,1.01677,0.94598,0.98,0.99195,0.81473,0.74334,0.87018,1.05361,0.0011719,0.0011719,0.0011719
17,3804.07,0.65538,0.70134,1.00446,0.9606,0.96738,0.98916,0.79766,0.74532,0.90846,1.04453,0.00113889,0.00113889,0.00113889
18,3955.01,0.57891,0.69956,0.98547,0.9956,0.98409,0.995,0.82672,0.69337,0.76634,1.02289,0.00110589,0.00110589,0.00110589
19,4146.03,0.59846,0.67777,1.01033,0.97725,1,0.995,0.83013,0.66656,0.71765,1.01248,0.00107288,0.00107288,0.00107288
20,4278.57,0.59132,0.65794,0.96355,0.98176,1,0.995,0.82845,0.74089,0.74009,1.04437,0.00103987,0.00103987,0.00103987
21,4416.13,0.6137,0.65521,1.0027,0.93832,0.99576,0.99269,0.74943,0.87527,0.8723,1.15817,0.00100687,0.00100687,0.00100687
22,4540.38,0.58917,0.61283,0.98416,0.95368,0.97142,0.98816,0.76469,0.78299,0.82993,1.13953,0.000973861,0.000973861,0.000973861
23,4689.79,0.59356,0.61072,0.99572,0.92365,0.98322,0.99192,0.7602,0.8328,0.80501,1.14604,0.000940855,0.000940855,0.000940855
24,4821.77,0.57574,0.62092,0.99642,0.97159,0.96285,0.995,0.79704,0.76153,0.727,1.0809,0.000907848,0.000907848,0.000907848
25,4956.82,0.61133,0.61572,0.99546,0.94256,1,0.99192,0.81236,0.6852,0.69518,1.0493,0.000874842,0.000874842,0.000874842
26,5180.51,0.5571,0.57495,0.99486,0.99624,0.98,0.99423,0.83487,0.6353,0.63005,1.01338,0.000841835,0.000841835,0.000841835
27,5438.94,0.5504,0.53704,0.99042,0.99184,0.9996,0.995,0.82373,0.69448,0.58591,1.02429,0.000808828,0.000808828,0.000808828
28,5570.72,0.50851,0.55479,0.9466,0.99151,1,0.995,0.84003,0.64916,0.60993,0.98277,0.000775822,0.000775822,0.000775822
29,5725.41,0.54022,0.53557,0.99334,0.99406,1,0.995,0.8521,0.62071,0.62859,0.96509,0.000742815,0.000742815,0.000742815
30,5990.38,0.5246,0.5872,0.98672,0.9932,1,0.995,0.86433,0.58403,0.59088,0.92883,0.000709809,0.000709809,0.000709809
31,6301.01,0.55516,0.539,0.96433,0.99328,1,0.995,0.8469,0.56852,0.57153,0.93433,0.000676802,0.000676802,0.000676802
32,6558.51,0.49551,0.53023,0.95751,0.99323,1,0.995,0.86197,0.57438,0.56627,0.9279,0.000643795,0.000643795,0.000643795
33,6664.01,0.48374,0.53236,0.93729,0.99063,1,0.995,0.87519,0.56144,0.5793,0.91005,0.000610789,0.000610789,0.000610789
34,6817.68,0.4758,0.48736,0.95115,0.98992,1,0.995,0.87688,0.56926,0.57237,0.90799,0.000577782,0.000577782,0.000577782
35,7070.34,0.60451,0.5851,1.01406,0.99183,1,0.995,0.87721,0.56721,0.55382,0.91932,0.000544776,0.000544776,0.000544776
36,7245.67,0.45717,0.49759,0.92473,0.99459,1,0.995,0.87722,0.56851,0.53468,0.91703,0.000511769,0.000511769,0.000511769
37,7359.47,0.46831,0.49221,0.95821,0.99593,1,0.995,0.86837,0.57091,0.54168,0.92286,0.000478762,0.000478762,0.000478762
38,7537.69,0.44477,0.47042,0.92689,0.99603,1,0.995,0.85986,0.57121,0.5434,0.93442,0.000445756,0.000445756,0.000445756
39,7682.47,0.4954,0.48795,0.95883,0.99632,1,0.995,0.85983,0.60699,0.52935,0.95923,0.000412749,0.000412749,0.000412749
40,7930.21,0.47567,0.5154,0.9457,0.99538,1,0.995,0.87529,0.58357,0.52287,0.95634,0.000379743,0.000379743,0.000379743
41,8040.29,0.49886,0.76589,0.94938,0.99436,1,0.995,0.8605,0.59806,0.51835,0.9754,0.000346736,0.000346736,0.000346736
42,8137.73,0.51484,0.71659,0.98277,0.9923,1,0.995,0.84876,0.66832,0.57989,1.0236,0.000313729,0.000313729,0.000313729
43,8275.38,0.4567,0.63627,0.96491,0.99242,1,0.995,0.86143,0.60838,0.59371,0.97391,0.000280723,0.000280723,0.000280723
44,8381.54,0.45455,0.61912,0.89667,0.99798,1,0.995,0.86513,0.57891,0.56707,0.94334,0.000247716,0.000247716,0.000247716
45,8494.15,0.4437,0.5864,0.91978,0.99718,1,0.995,0.8713,0.57894,0.55803,0.93864,0.00021471,0.00021471,0.00021471
46,8611.18,0.42537,0.57617,0.90798,0.99519,0.99978,0.995,0.88333,0.56349,0.53552,0.93145,0.000181703,0.000181703,0.000181703
47,8728.67,0.42521,0.55499,0.89843,0.99465,0.99898,0.995,0.87725,0.57618,0.5222,0.93951,0.000148696,0.000148696,0.000148696
48,8835.94,0.44158,0.57294,0.91922,0.99536,0.99869,0.995,0.86657,0.58827,0.51636,0.94421,0.00011569,0.00011569,0.00011569
49,8948.61,0.42671,0.55515,0.87306,0.99559,0.99871,0.995,0.87095,0.58712,0.50987,0.93968,8.26832e-05,8.26832e-05,8.26832e-05
50,9060.88,0.41649,0.57278,0.92661,0.99595,0.99862,0.995,0.87591,0.58023,0.50431,0.93023,4.96766e-05,4.96766e-05,4.96766e-05
